,BusinessEntityID,JobTitle,BirthDate,MaritalStatus,Gender,HireDate,VacationHours,SickLeaveHours,Rate,DepartmentID
312,269,Application Specialist,1987-05-26,M,M,2009-01-11,72,56,27.4038,InformationSystems
313,270,Database Administrator,1975-05-17,S,M,2009-01-17,67,53,38.4615,InformationSystems
314,271,Database Administrator,1976-01-06,M,M,2009-01-22,66,53,38.4615,InformationSystems
315,272,Application Specialist,1985-01-30,M,F,2008-12-23,71,55,27.4038,InformationSystems
316,273,Vice President of Sales,1977-06-06,S,M,2011-02-15,10,25,72.1154,Sales
317,274,North American Sales Manager,1951-10-17,M,M,2011-01-04,14,27,48.101,Sales
318,275,Sales Representative,1968-12-25,S,M,2011-05-31,38,39,23.0769,Sales
319,276,Sales Representative,1980-02-27,M,F,2011-05-31,27,33,23.0769,Sales
320,277,Sales Representative,1962-08-29,S,F,2011-05-31,24,32,23.0769,Sales
321,278,Sales Representative,1975-02-04,M,M,2011-05-31,33,36,23.0769,Sales
322,279,Sales Representative,1974-01-18,M,M,2011-05-31,29,34,23.0769,Sales
323,280,Sales Representative,1974-12-06,S,F,2011-05-31,22,31,23.0769,Sales
324,281,Sales Representative,1968-03-09,M,M,2011-05-31,26,33,23.0769,Sales
325,282,Sales Representative,1963-12-11,M,M,2011-05-31,31,35,23.0769,Sales
326,283,Sales Representative,1974-02-11,S,M,2011-05-31,23,31,23.0769,Sales
327,284,Sales Representative,1978-01-05,M,M,2012-09-30,39,39,23.0769,Sales
328,285,Pacific Sales Manager,1975-01-11,M,M,2013-03-14,20,30,48.101,Sales
329,286,Sales Representative,1977-02-14,S,F,2013-05-30,36,38,23.0769,Sales
330,287,European Sales Manager,1957-09-20,M,F,2012-04-16,21,30,48.101,Sales
331,288,Sales Representative,1975-07-09,S,F,2013-05-30,35,37,23.0769,Sales
332,289,Sales Representative,1968-03-17,M,F,2012-05-30,37,38,23.0769,Sales
333,290,Sales Representative,1975-09-30,S,M,2012-05-30,34,37,23.0769,Sales
